"cancelled_trips","long_outliers"
139945,139587
139967,139588
140179,139589
140429,139592
140484,139773
140715,140014
140734,140808
141227,141531
141388,141698
142332,142229
143075,142520
143707,143092
144838,144045
145292,144347
146812,144532
147756,146988
147842,147927
148495,149242
148593,150269
148609,150272
150138,150316
150244,150842
151208,152848
151489,156014
151958,156339
153060,157474
153181,157615
153206,158313
153280,158322
154409,158900
154445,158932
155376,159883
155643,160297
155761,162318
156239,165429
156344,165883
157057,165897
157297,165979
157594,166010
157847,168338
157986,168343
158111,168369
158872,171382
159323,172199
159739,172361
160325,173186
160479,173351
160856,173572
160925,175631
161966,175632
162375,175975
162797,176087
163324,176090
163932,176836
164656,177671
164657,177672
164720,178126
165284,178881
165305,178943
165599,179434
165696,180212
166129,180917
169232,182620
169559,183944
169578,184172
169778,185025
169902,185026
170269,185214
170510,185557
170547,185781
171346,186547
171508,186844
171804,187894
171822,187954
172777,190263
172816,191168
172914,191834
173120,191846
173131,192688
174470,192718
175373,192719
175484,192795
175725,192800
176175,193064
176920,193186
177630,194111
178595,194252
178626,194257
178766,195684
178887,196172
178901,197431
179528,197451
182355,197840
182906,198461
183794,198469
184113,198703
184316,198774
184703,432713
185232,432572
185480,432571
185714,432324
185761,432317
185802,432146
185899,432144
186437,432143
186779,432086
186884,430426
186999,428044
187141,427314
188209,427235
188339,423938
189973,422209
190379,422027
191927,421810
192405,421809
192613,421807
192695,421643
192705,421286
192774,421219
192886,421121
193025,420972
193114,419548
193120,417776
193362,417775
193374,417258
193477,415376
193638,414438
194285,413346
196859,412402
196913,412391
197796,412352
197960,411793
432795,411612
432753,411272
432708,409614
432584,408795
432473,405469
432417,404211
432304,402371
432164,401788
431886,401786
431885,401740
431877,399258
431872,395846
431764,395845
431692,394757
429029,391877
427340,389571
427006,389511
426408,387767
426231,385659
426115,383997
425916,382143
425355,382009
424820,381636
423272,381446
421797,381408
421417,381407
421267,380964
420691,380898
419506,380245
419504,380244
419290,375031
419199,371663
418587,371190
417880,371050
417561,368342
417074,367261
416452,366931
414736,364842
412441,364841
412246,361676
412121,361321
412119,361281
412004,361280
411589,361244
411516,361243
411312,360916
411033,360813
410597,360688
410162,357447
410102,357444
410101,357274
409979,357007
409345,356205
407303,355492
407302,354591
406512,351202
405485,350756
405130,350754
405126,350750
404833,350748
404794,349801
404133,349294
403886,349293
403304,348964
403141,348176
402968,348173
402714,348171
402529,347578
402193,347392
402148,345640
401877,345637
401640,344146
401561,344015
401470,343842
401302,342947
401293,342831
401171,342776
401167,342626
400943,339576
400902,339161
400122,337153
399593,336330
399551,335686
399515,334655
399150,334598
398598,334588
398360,334474
398084,334467
397931,334218
396985,334213
396749,333740
395646,333342
395535,332552
395071,331894
395068,331592
395053,331159
395037,330119
395023,329561
394843,329530
393905,328685
393524,328278
393517,327638
393324,326935
392709,326934
392591,326846
391985,326844
391854,324859
391795,324610
391635,324581
391628,324571
391515,323814
391124,323809
390458,323594
390373,322328
390245,321788
389771,321380
389034,320875
388866,319103
388558,318747
387043,315480
386598,315215
385913,315055
385761,314795
385728,314636
385595,314332
384644,314191
384269,312894
383893,312200
383292,312197
383130,311114
383034,310800
382721,309534
382648,309095
382631,307863
382561,307861
382334,307595
382260,306031
382259,306024
382082,305877
381793,305869
381791,305864
381670,305571
381660,305567
381478,305374
381342,305075
381273,305074
380912,304721
380584,303590
380498,303570
380231,302937
380026,302009
379667,301273
379466,300255
378420,299961
377777,298294
376936,297967
376699,297934
376698,297729
376560,297669
376352,297668
376204,297667
372630,297173
372314,296848
371977,295215
371573,288863
371186,288860
371048,288858
370872,288398
370852,288397
370850,288395
370656,288358
370513,288354
369931,288353
369909,288331
369545,288326
369264,288324
369128,287537
369120,287522
369068,287518
368785,287320
368498,287310
368161,286040
366075,284683
365458,284568
363454,284287
362788,281682
362685,279660
362449,279381
362273,279297
361865,279296
361584,278611
361379,276878
360744,275500
360471,274135
360102,273930
360073,272922
358911,271912
358605,268911
358195,268549
357966,265226
355819,262383
355410,262015
354472,261773
354444,261652
354287,261533
353955,260231
353765,259771
353684,256927
353374,255050
352973,254896
352936,254894
352741,254892
352572,254827
352169,254372
352099,254370
352094,254301
352036,254093
351951,253754
351711,253753
351551,253738
351540,253736
351174,253382
350760,252841
350599,251544
350523,251379
350302,250751
348975,248273
348468,246557
347798,246208
344472,246187
344450,243751
344383,243750
344218,243097
344094,242579
343996,238764
343925,238288
343771,238131
343567,238130
343456,237986
343349,237947
343277,237943
343176,237942
343175,237897
343072,237549
342954,237142
342931,237082
341966,232316
341663,231630
341495,231244
341122,231241
340859,231143
340214,230986
339326,230983
339173,230877
339052,229733
338716,229389
338661,226941
337907,225483
337782,224542
337101,224338
337040,224337
335861,224335
335857,224334
335844,224055
334921,224047
334622,223947
334371,223945
334313,223855
333981,223719
333960,222938
333844,222930
333595,222914
333215,222632
332961,222630
331918,222629
331195,222424
330840,222423
330309,222321
330130,216898
330099,216897
329734,216891
329580,216889
329502,215474
329263,215473
328091,215469
326559,215463
326126,215081
326010,215080
325463,215074
324936,215073
324325,215071
324025,215064
323841,213054
323341,211181
323016,211100
322786,211098
322396,210189
322176,208887
321159,208677
320873,207344
319962,207078
319259,206479
318992,206440
318967,206125
317774,204448
317135,203187
315209,202429
314762,202426
314750,201696
314677,200580
314471,199553
313970,199336
313474,199087
313345,587451
312777,586616
312214,586284
311841,586177
311450,585920
311359,585919
310914,585842
310532,584222
310001,584221
309883,582448
309804,582110
308734,581676
308592,578923
308587,577917
308366,576087
308033,576064
307926,575994
306877,575993
306110,575983
305977,575758
305806,575181
305723,573830
305672,572150
305546,570716
305545,570543
304933,570190
304840,568733
304228,568511
302876,568510
301625,568474
301483,568313
299569,567719
299438,566610
299073,566584
298396,566582
297935,562864
297172,560258
296833,560182
296408,560115
296241,559980
296201,559567
296143,558850
294403,554783
294291,552095
293764,546185
293518,545979
292903,545978
291949,541466
291473,536793
290642,536215
290467,535995
290162,531693
289781,531542
289457,529799
289037,529705
288952,528097
288760,525905
288691,525796
288105,525778
288104,525272
287923,525270
287774,524193
287092,523557
286897,522337
286523,521999
286070,521976
285544,520875
285052,519970
284638,517790
284451,516028
284299,514937
283927,514920
283786,514687
282184,512356
281807,511137
281042,511022
280602,507327
280089,507320
279584,506645
279488,505730
279373,505416
279347,504772
279246,504579
278460,504572
278384,504571
277755,504411
277534,503867
277504,500358
277198,498657
277157,495038
276039,494864
275629,494861
275628,494399
275326,494345
274634,494033
274516,493936
273733,493619
272822,493096
272807,492960
272103,492959
271822,492788
271332,483005
271037,482500
270573,481125
270032,480982
269987,480939
269974,480267
269891,474046
269562,474011
269343,473196
269098,473016
268806,471806
268540,471251
268377,467320
268078,467302
267034,462939
266570,462938
266461,462383
266377,461172
263518,459920
262706,459794
262290,458112
261926,458045
261795,456513
261530,456512
261528,456511
261376,454457
261034,454392
260619,454375
260560,453845
260102,453561
259654,453407
259419,452807
258697,452207
258387,451492
258076,450885
257724,450239
257643,449904
257020,449114
256150,449113
255654,448797
255026,445299
254867,445014
254576,444468
254433,444466
254415,443356
254142,442738
253642,442735
253218,442575
253076,441625
251392,441544
251024,441052
250175,440832
250085,440831
249769,440033
249707,435081
249352,434969
249101,433173
248922,433172
248735,433169
248632,NA
248309,NA
247901,NA
247879,NA
247874,NA
246580,NA
246482,NA
246462,NA
246120,NA
246119,NA
246118,NA
246114,NA
246039,NA
245823,NA
245737,NA
245096,NA
244131,NA
244068,NA
243962,NA
243243,NA
242643,NA
242555,NA
242479,NA
242264,NA
241904,NA
241881,NA
241602,NA
241582,NA
241543,NA
240270,NA
239947,NA
239649,NA
239048,NA
238371,NA
238139,NA
237630,NA
237624,NA
236909,NA
236112,NA
236039,NA
235972,NA
234023,NA
233220,NA
233107,NA
232739,NA
232485,NA
232070,NA
231607,NA
231388,NA
231381,NA
231361,NA
230923,NA
230772,NA
229300,NA
229245,NA
229194,NA
228094,NA
227988,NA
227435,NA
227059,NA
225578,NA
225174,NA
224999,NA
224844,NA
224291,NA
224016,NA
223755,NA
223118,NA
222017,NA
220932,NA
220770,NA
220759,NA
220600,NA
220378,NA
219959,NA
219892,NA
219891,NA
219873,NA
219786,NA
219001,NA
218776,NA
216178,NA
216129,NA
215902,NA
215853,NA
215807,NA
215593,NA
215209,NA
215189,NA
215107,NA
214690,NA
214630,NA
214626,NA
214074,NA
213275,NA
212843,NA
212224,NA
211814,NA
211671,NA
211523,NA
211327,NA
211319,NA
210353,NA
210138,NA
210028,NA
208647,NA
208463,NA
208063,NA
207182,NA
206452,NA
206392,NA
206339,NA
206008,NA
204677,NA
202979,NA
202211,NA
201676,NA
200593,NA
199497,NA
199465,NA
199464,NA
